Area,Midpoint,Confidence,ID,Class
1595.8513,"(749.9786376953125, 545.7880859375)",0.48815036,1.0,4.0
1535.7208,"(750.650634765625, 544.6114501953125)",0.47911528,1.0,4.0
1434.1569,"(751.02978515625, 543.6557006835938)",0.49609163,1.0,4.0
1382.2229,"(751.312744140625, 543.448486328125)",0.51806444,1.0,4.0
1148.5519,"(748.25390625, 542.772705078125)",0.5064197,1.0,4.0
1064.4518,"(745.5223388671875, 542.1150512695312)",0.5028642,1.0,4.0
1060.1996,"(744.0986328125, 541.8472900390625)",0.49858743,1.0,4.0
1118.64,"(744.78173828125, 542.0773315429688)",0.47379652,1.0,4.0
1290.2115,"(743.885986328125, 541.4121704101562)",0.20260966,1.0,4.0
1411.4476,"(744.2680053710938, 541.4805908203125)",0.22451477,1.0,4.0
1508.5255,"(744.4652709960938, 541.7293701171875)",0.28789192,1.0,4.0
1519.7233,"(744.2880859375, 541.465576171875)",0.31053853,1.0,4.0
1573.8289,"(743.6486206054688, 541.2275390625)",0.13669121,1.0,4.0
1586.068,"(743.2637939453125, 540.8795166015625)",0.12469578,1.0,4.0
1535.6361,"(742.97314453125, 539.9398193359375)",0.26852682,1.0,4.0
1602.1665,"(742.4300537109375, 539.1064453125)",0.10373486,1.0,2.0
1667.6443,"(743.3988647460938, 540.08056640625)",0.1951134,1.0,2.0
1682.9808,"(743.013916015625, 539.0023193359375)",0.11237657,1.0,2.0
1718.5175,"(741.8966064453125, 539.0025634765625)",0.16500296,1.0,2.0
1748.8956,"(741.20458984375, 539.2139892578125)",0.19414634,1.0,2.0
1787.1504,"(740.770751953125, 539.27783203125)",0.2007636,1.0,2.0
1784.249,"(740.3614501953125, 539.607177734375)",0.19085497,1.0,2.0
1678.7749,"(741.75341796875, 539.7131958007812)",0.184834,1.0,2.0
1791.061,"(740.518310546875, 538.9300537109375)",0.20862646,1.0,2.0
1822.7976,"(739.263671875, 538.1033325195312)",0.35803598,1.0,2.0
1871.0652,"(738.7958984375, 537.3641357421875)",0.32291305,1.0,2.0
1865.9796,"(736.737548828125, 535.24365234375)",0.5042389,1.0,2.0
1921.462,"(735.6165771484375, 534.0760498046875)",0.51743466,1.0,2.0
1990.3065,"(733.947021484375, 534.3780517578125)",0.50822526,1.0,2.0
2027.6244,"(733.18701171875, 534.7236328125)",0.5108877,1.0,2.0
2039.9784,"(733.4876098632812, 535.4261474609375)",0.45704287,1.0,2.0
2015.7052,"(733.744384765625, 536.1732177734375)",0.4062923,1.0,2.0
1963.0842,"(733.3414306640625, 536.1349487304688)",0.3919037,1.0,2.0
1937.8214,"(732.7919921875, 535.4395141601562)",0.5055741,1.0,2.0
1954.5156,"(732.9969482421875, 535.1593017578125)",0.49522123,1.0,2.0
1919.6068,"(734.0768432617188, 535.492431640625)",0.46214265,1.0,2.0
1909.3282,"(735.112060546875, 536.0139770507812)",0.33051598,1.0,2.0
1864.2727,"(736.0635375976562, 536.6173095703125)",0.20471464,1.0,2.0
1822.1514,"(736.9013671875, 536.4129028320312)",0.34498754,1.0,4.0
2122.5232,"(735.4030151367188, 533.7471923828125)",0.5131421,1.0,2.0
2310.4678,"(734.2572631835938, 532.590087890625)",0.619156,1.0,2.0
2327.5286,"(733.56591796875, 532.1763916015625)",0.60084695,1.0,2.0
2352.093,"(733.0321044921875, 532.0938110351562)",0.61980075,1.0,2.0
2328.6865,"(732.4092407226562, 532.222412109375)",0.5935498,1.0,2.0
2341.3867,"(731.968505859375, 532.2938842773438)",0.5926352,1.0,2.0
