ID	Class	Confidence	Midpoint	Area
1.0	4.0	0.46419463	(758.93408203125, 560.4801025390625)	1783.6226
1.0	4.0	0.46981126	(759.1522216796875, 560.1928100585938)	1780.3655
1.0	4.0	0.48966226	(758.9580078125, 560.2400512695312)	1830.7831
1.0	4.0	0.42571783	(758.9569091796875, 560.183837890625)	1883.5337
1.0	4.0	0.4366416	(758.8685302734375, 559.1388549804688)	1924.5234
1.0	4.0	0.43705863	(758.6702880859375, 558.8373413085938)	1951.2971
1.0	4.0	0.469571	(760.099609375, 559.8917236328125)	1916.0017
1.0	4.0	0.4792718	(760.4161376953125, 560.2572021484375)	1896.5076
1.0	4.0	0.5143368	(760.8739013671875, 560.303955078125)	1844.5817
1.0	4.0	0.50554466	(760.5828857421875, 560.2739868164062)	1843.7046
1.0	4.0	0.54880756	(760.6373291015625, 560.1868896484375)	1798.2302
1.0	4.0	0.55247664	(760.3187255859375, 560.3408203125)	1810.3224
1.0	4.0	0.5241993	(760.3234252929688, 560.516357421875)	1804.422
1.0	4.0	0.5441821	(759.9503173828125, 560.4000244140625)	1839.2549
1.0	4.0	0.5377752	(759.7708740234375, 559.5882568359375)	1818.5931
1.0	4.0	0.5190664	(759.80517578125, 558.8250732421875)	1793.3842
1.0	4.0	0.44461334	(759.721435546875, 558.9114990234375)	1820.5394
1.0	4.0	0.41776568	(759.6126708984375, 559.3438720703125)	1875.6782
1.0	4.0	0.3857338	(759.9488525390625, 558.5880126953125)	1807.7603
1.0	4.0	0.38152486	(760.0703125, 557.920654296875)	1779.8619
1.0	4.0	0.41001546	(760.3258056640625, 557.6033325195312)	1748.2872
1.0	4.0	0.4506736	(760.1022338867188, 557.6375732421875)	1741.7129
1.0	4.0	0.5523171	(760.0158081054688, 557.6309204101562)	1763.6058
1.0	4.0	0.49343818	(759.8077392578125, 557.326171875)	1837.7434
1.0	4.0	0.51599044	(760.0751953125, 557.26953125)	1868.3065
1.0	4.0	0.5053399	(760.0325927734375, 557.3387451171875)	1903.358
1.0	4.0	0.3979861	(759.5625, 555.867431640625)	1901.8586
1.0	4.0	0.39191002	(758.609130859375, 554.632568359375)	1945.6469
1.0	2.0	0.313556	(757.2407836914062, 552.9437255859375)	2115.2207
1.0	2.0	0.23147827	(756.456298828125, 552.0390014648438)	2138.963
1.0	2.0	0.3019064	(756.1241455078125, 551.7455444335938)	2150.81
1.0	2.0	0.2507765	(755.6072387695312, 551.884765625)	2156.684
1.0	2.0	0.26963088	(754.943359375, 551.1091918945312)	2133.5068
1.0	2.0	0.24438375	(754.5309448242188, 550.9072875976562)	2121.3499
1.0	2.0	0.23544559	(754.6075439453125, 551.1982421875)	2104.249
1.0	2.0	0.24415474	(754.6346435546875, 551.0236206054688)	2092.3948
1.0	2.0	0.3030061	(755.05029296875, 551.0111083984375)	2104.279
1.0	2.0	0.357051	(755.8934936523438, 551.1660766601562)	2086.7512
1.0	2.0	0.33435115	(756.3793334960938, 550.8864135742188)	2025.1312
1.0	2.0	0.2567945	(756.59716796875, 550.7456665039062)	1958.1769
1.0	2.0	0.3104752	(757.628662109375, 550.82861328125)	1918.4991
1.0	2.0	0.3228435	(758.1085205078125, 550.7899169921875)	1912.1184
1.0	2.0	0.45831764	(757.6929931640625, 550.019287109375)	1835.551
1.0	2.0	0.43051258	(756.6599731445312, 550.1810913085938)	1796.679
1.0	2.0	0.390947	(755.8673706054688, 549.6929931640625)	1881.774
1.0	2.0	0.2676542	(755.9879150390625, 549.9927978515625)	1924.325
1.0	2.0	0.3026631	(754.7667236328125, 549.296630859375)	1953.706
1.0	4.0	0.3598354	(752.0587158203125, 548.708251953125)	1855.3003
1.0	4.0	0.37343526	(752.0029907226562, 549.2657470703125)	1818.6187
1.0	4.0	0.44870335	(751.6265258789062, 549.00830078125)	1812.4652
1.0	4.0	0.4707582	(751.521728515625, 548.1661376953125)	1762.1807
1.0	4.0	0.49405202	(751.6109619140625, 547.490478515625)	1720.5277
1.0	4.0	0.46921727	(752.0444946289062, 546.6954956054688)	1692.9869
1.0	4.0	0.53007483	(752.180908203125, 546.4869995117188)	1698.7032
1.0	4.0	0.45458806	(752.1304931640625, 546.5496826171875)	1587.5502
1.0	4.0	0.39967537	(753.18994140625, 547.400634765625)	1625.1309
1.0	2.0	0.22196272	(754.3785400390625, 548.3843383789062)	1666.7302
1.0	2.0	0.2213535	(754.9736328125, 549.7430419921875)	1731.2769
1.0	2.0	0.21578746	(755.2323608398438, 550.398193359375)	1769.1921
1.0	4.0	0.2197313	(754.893310546875, 550.413330078125)	1820.8964
1.0	4.0	0.28097132	(754.592529296875, 550.216796875)	1794.9792
1.0	4.0	0.22197981	(754.8643798828125, 549.8142700195312)	1798.6438
1.0	4.0	0.44766968	(754.0299072265625, 549.2245483398438)	1720.7571
1.0	4.0	0.53231233	(752.47314453125, 548.3258056640625)	1632.7035
1.0	4.0	0.5331479	(751.9550170898438, 547.802978515625)	1594.7064
1.0	4.0	0.5107929	(751.3585205078125, 548.0260620117188)	1647.2634
1.0	4.0	0.47258645	(750.5867919921875, 548.5452880859375)	1667.5603
1.0	4.0	0.47059932	(750.3538818359375, 549.0792236328125)	1714.8983
1.0	4.0	0.43444023	(750.89599609375, 549.8494873046875)	1808.4183
1.0	4.0	0.43878227	(752.528564453125, 550.343017578125)	1833.8439
1.0	4.0	0.50728184	(751.2750854492188, 550.2738037109375)	1811.4447
1.0	4.0	0.4819946	(750.8729248046875, 550.3131713867188)	1810.5504
1.0	4.0	0.48918626	(752.3611450195312, 550.3375244140625)	1761.9785
1.0	4.0	0.5073962	(753.2429809570312, 550.2462158203125)	1734.6957
1.0	4.0	0.5248224	(751.7255859375, 549.3155517578125)	1680.9255
1.0	4.0	0.5312811	(751.2119140625, 548.8160400390625)	1673.234
1.0	4.0	0.54092747	(750.6292724609375, 547.8973388671875)	1602.8679
1.0	4.0	0.5404107	(750.4742431640625, 547.72802734375)	1594.7423
1.0	4.0	0.46804136	(750.1676635742188, 548.175048828125)	1584.8444
1.0	4.0	0.46280795	(749.437255859375, 548.72021484375)	1587.2435
1.0	4.0	0.44898877	(748.7543334960938, 548.8858642578125)	1631.844
1.0	4.0	0.5022874	(746.5265502929688, 548.91552734375)	1680.759
1.0	4.0	0.49258626	(745.9382934570312, 548.6705322265625)	1694.6133
1.0	4.0	0.4685389	(747.0440673828125, 548.3322143554688)	1706.7318
1.0	4.0	0.47285125	(747.5763549804688, 547.4461669921875)	1682.1793
1.0	4.0	0.46533927	(748.9344482421875, 546.9910888671875)	1629.5441
1.0	4.0	0.48815036	(749.9786376953125, 545.7880859375)	1595.8513
1.0	4.0	0.47911528	(750.650634765625, 544.6114501953125)	1535.7208
1.0	4.0	0.49609163	(751.02978515625, 543.6557006835938)	1434.1569
1.0	4.0	0.51806444	(751.312744140625, 543.448486328125)	1382.2229
1.0	4.0	0.5064197	(748.25390625, 542.772705078125)	1148.5519
1.0	4.0	0.5028642	(745.5223388671875, 542.1150512695312)	1064.4518
1.0	4.0	0.49858743	(744.0986328125, 541.8472900390625)	1060.1996
1.0	4.0	0.47379652	(744.78173828125, 542.0773315429688)	1118.64
1.0	4.0	0.20260966	(743.885986328125, 541.4121704101562)	1290.2115
1.0	4.0	0.22451477	(744.2680053710938, 541.4805908203125)	1411.4476
1.0	4.0	0.28789192	(744.4652709960938, 541.7293701171875)	1508.5255
1.0	4.0	0.31053853	(744.2880859375, 541.465576171875)	1519.7233
1.0	4.0	0.13669121	(743.6486206054688, 541.2275390625)	1573.8289
1.0	4.0	0.12469578	(743.2637939453125, 540.8795166015625)	1586.068
1.0	4.0	0.26852682	(742.97314453125, 539.9398193359375)	1535.6361
1.0	2.0	0.10373486	(742.4300537109375, 539.1064453125)	1602.1665
1.0	2.0	0.1951134	(743.3988647460938, 540.08056640625)	1667.6443
1.0	2.0	0.11237657	(743.013916015625, 539.0023193359375)	1682.9808
1.0	2.0	0.16500296	(741.8966064453125, 539.0025634765625)	1718.5175
1.0	2.0	0.19414634	(741.20458984375, 539.2139892578125)	1748.8956
1.0	2.0	0.2007636	(740.770751953125, 539.27783203125)	1787.1504
1.0	2.0	0.19085497	(740.3614501953125, 539.607177734375)	1784.249
1.0	2.0	0.184834	(741.75341796875, 539.7131958007812)	1678.7749
1.0	2.0	0.20862646	(740.518310546875, 538.9300537109375)	1791.061
1.0	2.0	0.35803598	(739.263671875, 538.1033325195312)	1822.7976
1.0	2.0	0.32291305	(738.7958984375, 537.3641357421875)	1871.0652
1.0	2.0	0.5042389	(736.737548828125, 535.24365234375)	1865.9796
1.0	2.0	0.51743466	(735.6165771484375, 534.0760498046875)	1921.462
1.0	2.0	0.50822526	(733.947021484375, 534.3780517578125)	1990.3065
1.0	2.0	0.5108877	(733.18701171875, 534.7236328125)	2027.6244
1.0	2.0	0.45704287	(733.4876098632812, 535.4261474609375)	2039.9784
1.0	2.0	0.4062923	(733.744384765625, 536.1732177734375)	2015.7052
1.0	2.0	0.3919037	(733.3414306640625, 536.1349487304688)	1963.0842
1.0	2.0	0.5055741	(732.7919921875, 535.4395141601562)	1937.8214
1.0	2.0	0.49522123	(732.9969482421875, 535.1593017578125)	1954.5156
1.0	2.0	0.46214265	(734.0768432617188, 535.492431640625)	1919.6068
1.0	2.0	0.33051598	(735.112060546875, 536.0139770507812)	1909.3282
1.0	2.0	0.20471464	(736.0635375976562, 536.6173095703125)	1864.2727
1.0	4.0	0.34498754	(736.9013671875, 536.4129028320312)	1822.1514
1.0	2.0	0.5131421	(735.4030151367188, 533.7471923828125)	2122.5232
1.0	2.0	0.619156	(734.2572631835938, 532.590087890625)	2310.4678
1.0	2.0	0.60084695	(733.56591796875, 532.1763916015625)	2327.5286
1.0	2.0	0.61980075	(733.0321044921875, 532.0938110351562)	2352.093
